Page,Column,transcription,Points,quoc_ngu_groundtruth,Chữ Quốc Ngữ,transcription_list,quoc_ngu_groundtruth_list
183,3,諸侯朝於夭子旦𨕭職,"[(218, 55), (261, 451)]",chư hầu triều ư thiên tử viết thuật chức,Chư Hầu Triều Ư Thiên Tử Viết Thuật Chức,"['諸', '侯', '朝', '於', '夭', '子', '旦', '𨕭', '職']","['chư', 'hầu', 'triều', 'ư', 'thiên', 'tử', 'viết', 'thuật', 'chức']"
183,4,春省耕而補不足,"[(176, 55), (216, 362)]",xuân tỉnh canh nhi bổ bất túc,Xuân Tỉnh Canh Nhi Bổ Bất Túc,"['春', '省', '耕', '而', '補', '不', '足']","['xuân', 'tỉnh', 'canh', 'nhi', 'bổ', 'bất', 'túc']"
183,5,秋省敘兒助不伶,"[(128, 58), (171, 365)]",thu tĩnh liễm nhi trợ bất cấp,Thu Tĩnh Liễm Nhi Trợ Bất Cấp,"['秋', '省', '敘', '兒', '助', '不', '伶']","['thu', 'tĩnh', 'liễm', 'nhi', 'trợ', 'bất', 'cấp']"
183,6,八其暄土地𬁖,"[(84, 59), (126, 363)]",nhập kỳ cương thổ địa tịch,Nhập Kỳ Cương Thổ Địa Tịch,"['八', '其', '暄', '土', '地', '𬁖']","['nhập', 'kỳ', 'cương', 'thổ', 'địa', 'tịch']"
183,7,田野治養老,"[(45, 63), (77, 324)]",điền dã trị dưỡng lão,Điền Dã Trị Dưỡng Lão,"['田', '野', '治', '養', '老']","['điền', 'dã', 'trị', 'dưỡng', 'lão']"
185,0,尊賢俊傑在位,"[(350, 54), (396, 366)]",tôn hiền tuấn kiệt tại vị,Tôn Hiền Tuấn Kiệt Tại Vị,"['尊', '賢', '俊', '傑', '在', '位']","['tôn', 'hiền', 'tuấn', 'kiệt', 'tại', 'vị']"
185,1,則有慶󰆑以地,"[(310, 59), (351, 362)]",tắc hữu khánh khánh dĩ địa,Tắc Hữu Khánh Khánh Dĩ Địa,"['則', '有', '慶', '\U000f0191', '以', '地']","['tắc', 'hữu', 'khánh', 'khánh', 'dĩ', 'địa']"
185,2,八其彊土地筭蕪,"[(265, 59), (306, 406)]",nhập kỳ cương thổ địa hoang vu,Nhập Kỳ Cương Thổ Địa Hoang Vu,"['八', '其', '彊', '土', '地', '筭', '蕪']","['nhập', 'kỳ', 'cương', 'thổ', 'địa', 'hoang', 'vu']"
185,3,遺老失賢,"[(219, 53), (266, 282)]",di lão thất hiền,Di Lão Thất Hiền,"['遺', '老', '失', '賢']","['di', 'lão', 'thất', 'hiền']"
185,4,揞克在位則有讓,"[(174, 59), (217, 411)]",bồi khắc tại vị tắc hữu nhượng,Bồi Khắc Tại Vị Tắc Hữu Nhượng,"['揞', '克', '在', '位', '則', '有', '讓']","['bồi', 'khắc', 'tại', 'vị', 'tắc', 'hữu', 'nhượng']"
185,5,一不朝則貶其爵,"[(132, 61), (172, 407)]",nhất bất triều tắc biếm kỳ tước,Nhất Bất Triều Tắc Biếm Kỳ Tước,"['一', '不', '朝', '則', '貶', '其', '爵']","['nhất', 'bất', 'triều', 'tắc', 'biếm', 'kỳ', 'tước']"
185,6,再不朝則削其地,"[(85, 54), (129, 405)]",tái bất triều tắc tước kỳ địa,Tái Bất Triều Tắc Tước Kỳ Địa,"['再', '不', '朝', '則', '削', '其', '地']","['tái', 'bất', 'triều', 'tắc', 'tước', 'kỳ', 'địa']"
185,7,三不朝則六師彩之,"[(42, 58), (84, 449)]",tam bất triều tắc lục sư di chi,Tam Bất Triều Tắc Lục Sư Di Chi,"['三', '不', '朝', '則', '六', '師', '彩', '之']","['tam', 'bất', 'triều', 'tắc', 'lục', 'sư', 'di', 'chi']"
187,0,是故天子討兒不伐,"[(355, 57), (391, 407)]",thị cố thiên tử thảo nhi bất phạt,Thị Cố Thiên Tử Thảo Nhi Bất Phạt,"['是', '故', '天', '子', '討', '兒', '不', '伐']","['thị', 'cố', 'thiên', 'tử', 'thảo', 'nhi', 'bất', 'phạt']"
187,1,諸侯伐而不討,"[(311, 57), (348, 316)]",chư hầu phạt nhi bất thảo,Chư Hầu Phạt Nhi Bất Thảo,"['諸', '侯', '伐', '而', '不', '討']","['chư', 'hầu', 'phạt', 'nhi', 'bất', 'thảo']"
187,2,五覇者,"[(261, 58), (306, 189)]",ngũ bá giả,Ngũ Bá Giả,"['五', '覇', '者']","['ngũ', 'bá', 'giả']"
187,3,摱諸侯𧘇伐諸侯者也,"[(216, 52), (265, 451)]",lâu chư hầu dĩ phạt chư hầu giả dã,Lâu Chư Hầu Dĩ Phạt Chư Hầu Giả Dã,"['摱', '諸', '侯', '𧘇', '伐', '諸', '侯', '者', '也']","['lâu', 'chư', 'hầu', 'dĩ', 'phạt', 'chư', 'hầu', 'giả', 'dã']"
187,4,故曰五𢀭者,"[(178, 60), (212, 272)]",cố viết ngũ bá giả,Cố Viết Ngũ Bá Giả,"['故', '曰', '五', '𢀭', '者']","['cố', 'viết', 'ngũ', 'bá', 'giả']"
187,5,三王之罪人也,"[(135, 63), (168, 315)]",tam vương chi tội nhân dã,Tam Vương Chi Tội Nhân Dã,"['三', '王', '之', '罪', '人', '也']","['tam', 'vương', 'chi', 'tội', 'nhân', 'dã']"
187,6,五覇桓公爲盛,"[(82, 55), (129, 365)]",ngũ bá hoàn công vi thạnh,Ngũ Bá Hoàn Công Vi Thạnh,"['五', '覇', '桓', '公', '爲', '盛']","['ngũ', 'bá', 'hoàn', 'công', 'vi', 'thạnh']"
187,7,葵丘之會諸侯,"[(42, 56), (81, 320)]",quì khâu chi hội chư hầu,Quì Khâu Chi Hội Chư Hầu,"['葵', '丘', '之', '會', '諸', '侯']","['quì', 'khâu', 'chi', 'hội', 'chư', 'hầu']"
189,0,束性載書兒不𰙔血,"[(353, 57), (395, 401)]",thúc sinh thái thư nhi bất sáp huyết,Thúc Sinh Thái Thư Nhi Bất Sáp Huyết,"['束', '性', '載', '書', '兒', '不', '𰙔', '血']","['thúc', 'sinh', 'thái', 'thư', 'nhi', 'bất', 'sáp', 'huyết']"
189,1,初命曰,"[(299, 52), (352, 186)]",sơ mệnh viết,Sơ Mệnh Viết,"['初', '命', '曰']","['sơ', 'mệnh', 'viết']"
189,2,誅不孝,"[(264, 57), (306, 187)]",tru bất hiếu,Tru Bất Hiếu,"['誅', '不', '孝']","['tru', 'bất', 'hiếu']"
189,3,無易𥸷子,"[(222, 58), (258, 228)]",vô dịch thụ tử,Vô Dịch Thụ Tử,"['無', '易', '𥸷', '子']","['vô', 'dịch', 'thụ', 'tử']"
189,4,無以妾爲妻,"[(176, 56), (216, 279)]",vô dĩ thiếp vi thê,Vô Dĩ Thiếp Vi Thê,"['無', '以', '妾', '爲', '妻']","['vô', 'dĩ', 'thiếp', 'vi', 'thê']"
189,5,再命曰,"[(126, 55), (176, 187)]",tái mệnh viết,Tái Mệnh Viết,"['再', '命', '曰']","['tái', 'mệnh', 'viết']"
189,6,尊賢育才,"[(84, 56), (125, 286)]",tôn hiền dục tài,Tôn Hiền Dục Tài,"['尊', '賢', '育', '才']","['tôn', 'hiền', 'dục', 'tài']"
189,7,以彰有德,"[(37, 58), (83, 237)]",dĩ chương hữu đức,Dĩ Chương Hữu Đức,"['以', '彰', '有', '德']","['dĩ', 'chương', 'hữu', 'đức']"
191,0,三命曰,"[(349, 59), (394, 186)]",tam mệnh viết,Tam Mệnh Viết,"['三', '命', '曰']","['tam', 'mệnh', 'viết']"
191,1,敬老慈缺,"[(306, 58), (350, 271)]",kính lão tử ấu,Kính Lão Tử Ấu,"['敬', '老', '慈', '缺']","['kính', 'lão', 'tử', 'ấu']"
191,2,無忘寶旅,"[(264, 60), (302, 231)]",vô vong lân lữ,Vô Vong Lân Lữ,"['無', '忘', '寶', '旅']","['vô', 'vong', 'lân', 'lữ']"
191,3,四命曰,"[(221, 66), (255, 180)]",tứ mệnh viết,Tứ Mệnh Viết,"['四', '命', '曰']","['tứ', 'mệnh', 'viết']"
191,4,士無世官,"[(167, 56), (219, 231)]",sĩ vô thế quan,Sĩ Vô Thế Quan,"['士', '無', '世', '官']","['sĩ', 'vô', 'thế', 'quan']"
191,5,官事無攝,"[(126, 60), (168, 234)]",quan sự vô nhiếp,Quan Sự Vô Nhiếp,"['官', '事', '無', '攝']","['quan', 'sự', 'vô', 'nhiếp']"
191,6,取士必得,"[(87, 63), (122, 227)]",thủ sĩ tất đắc,Thủ Sĩ Tất Đắc,"['取', '士', '必', '得']","['thủ', 'sĩ', 'tất', 'đắc']"
193,0,五命曰,"[(349, 56), (397, 188)]",ngũ mệnh viết,Ngũ Mệnh Viết,"['五', '命', '曰']","['ngũ', 'mệnh', 'viết']"
193,1,無曲防一無過羅,"[(304, 57), (352, 370)]",vô khúc phòng vô át địch,Vô Khúc Phòng Vô Át Địch,"['無', '曲', '防', '一', '無', '過', '羅']","['vô', 'khúc', 'phòng', 'vô', 'át', 'địch']"
193,2,無有風而不告,"[(269, 62), (299, 313)]",vô hữu phong nhi bất cáo,Vô Hữu Phong Nhi Bất Cáo,"['無', '有', '風', '而', '不', '告']","['vô', 'hữu', 'phong', 'nhi', 'bất', 'cáo']"
193,3,曰几我同盥之人,"[(224, 65), (261, 358)]",viết phàm ngã đồng minh chi nhân,Viết Phàm Ngã Đồng Minh Chi Nhân,"['曰', '几', '我', '同', '盥', '之', '人']","['viết', 'phàm', 'ngã', 'đồng', 'minh', 'chi', 'nhân']"
193,4,既盟之後言歸千好,"[(172, 60), (215, 453)]",ký minh chi hậu ngôn qui ư hảo,Ký Minh Chi Hậu Ngôn Qui Ư Hảo,"['既', '盟', '之', '後', '言', '歸', '千', '好']","['ký', 'minh', 'chi', 'hậu', 'ngôn', 'qui', 'ư', 'hảo']"
193,5,令之諸侯,"[(131, 57), (171, 234)]",kim chi chư hầu,Kim Chi Chư Hầu,"['令', '之', '諸', '侯']","['kim', 'chi', 'chư', 'hầu']"
193,6,㗂犯此五禁,"[(83, 56), (126, 277)]",giai phạm thử ngũ cấm,Giai Phạm Thử Ngũ Cấm,"['㗂', '犯', '此', '五', '禁']","['giai', 'phạm', 'thử', 'ngũ', 'cấm']"
193,7,故曰冷之諸侯,"[(41, 57), (80, 320)]",cố viết kim chi chư hầu,Cố Viết Kim Chi Chư Hầu,"['故', '曰', '冷', '之', '諸', '侯']","['cố', 'viết', 'kim', 'chi', 'chư', 'hầu']"
195,0,五覇之罪人也,"[(354, 68), (389, 322)]",ngũ bá chi tội nhân dã,Ngũ Bá Chi Tội Nhân Dã,"['五', '覇', '之', '罪', '人', '也']","['ngũ', 'bá', 'chi', 'tội', 'nhân', 'dã']"
195,1,長君之惡其罪小,"[(308, 63), (346, 419)]",trưởng quân chi ác kỳ tội tiểu,Trưởng Quân Chi Ác Kỳ Tội Tiểu,"['長', '君', '之', '惡', '其', '罪', '小']","['trưởng', 'quân', 'chi', 'ác', 'kỳ', 'tội', 'tiểu']"
195,2,蓬君之惡其罪大,"[(263, 65), (300, 420)]",phùng quân chi ác kỳ tội đại,Phùng Quân Chi Ác Kỳ Tội Đại,"['蓬', '君', '之', '惡', '其', '罪', '大']","['phùng', 'quân', 'chi', 'ác', 'kỳ', 'tội', 'đại']"
195,3,爲之大夫皆逢君之惡,"[(220, 66), (255, 457)]",kim chi đại phu giai phùng quân chi ác,Kim Chi Đại Phu Giai Phùng Quân Chi Ác,"['爲', '之', '大', '夫', '皆', '逢', '君', '之', '惡']","['kim', 'chi', 'đại', 'phu', 'giai', 'phùng', 'quân', 'chi', 'ác']"
195,4,故同爲之大夫,"[(179, 68), (209, 326)]",cố viết kim chi đại phu,Cố Viết Kim Chi Đại Phu,"['故', '同', '爲', '之', '大', '夫']","['cố', 'viết', 'kim', 'chi', 'đại', 'phu']"
195,5,令之諸侯之罪人也,"[(130, 66), (166, 410)]",kim chi chư hầu chi tội nhân dã,Kim Chi Chư Hầu Chi Tội Nhân Dã,"['令', '之', '諸', '侯', '之', '罪', '人', '也']","['kim', 'chi', 'chư', 'hầu', 'chi', 'tội', 'nhân', 'dã']"
195,6,曾欲使憤子爲將軍,"[(87, 68), (120, 414)]",lỗ dục sử thận tử vi tướng quân,8 Lỗ Dục Sử Thận Tử Vi Tướng Quân,"['曾', '欲', '使', '憤', '子', '爲', '將', '軍']","['lỗ', 'dục', 'sử', 'thận', 'tử', 'vi', 'tướng', 'quân']"
195,7,孟子曰,"[(46, 68), (74, 185)]",mạnh tử viết,Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
197,0,不教民而用之,"[(355, 60), (391, 315)]",bất giáo dân nhi dụng chi,Bất Giáo Dân Nhi Dụng Chi,"['不', '教', '民', '而', '用', '之']","['bất', 'giáo', 'dân', 'nhi', 'dụng', 'chi']"
197,1,調之秩民秩民者,"[(308, 60), (352, 408)]",vị chi ương dân ương dân giả,Vị Chi Ương Dân Ương Dân Giả,"['調', '之', '秩', '民', '秩', '民', '者']","['vị', 'chi', 'ương', 'dân', 'ương', 'dân', 'giả']"
197,2,不容於堯舜之世,"[(267, 63), (300, 357)]",bất dung ư nghiêu thuấn chi thế,Bất Dung Ư Nghiêu Thuấn Chi Thế,"['不', '容', '於', '堯', '舜', '之', '世']","['bất', 'dung', 'ư', 'nghiêu', 'thuấn', 'chi', 'thế']"
197,3,丿戰勝齊遂有南陽,"[(221, 66), (258, 457)]",nhất chiến thắng tề toại hữu nam dương,Nhất Chiến Thắng Tề Toại Hữu Nam Dương,"['丿', '戰', '勝', '齊', '遂', '有', '南', '陽']","['nhất', 'chiến', 'thắng', 'tề', 'toại', 'hữu', 'nam', 'dương']"
197,4,然旦不可,"[(177, 57), (214, 229)]",nhiên thả bất khả,Nhiên Thả Bất Khả,"['然', '旦', '不', '可']","['nhiên', 'thả', 'bất', 'khả']"
197,5,憤子勃然不悅,"[(136, 61), (166, 316)]",thận tử bột nhiên bất duyệt,Thận Tử Bột Nhiên Bất Duyệt,"['憤', '子', '勃', '然', '不', '悅']","['thận', 'tử', 'bột', 'nhiên', 'bất', 'duyệt']"
197,6,曰此則濁鍾所不識也,"[(88, 64), (124, 447)]",viết thử tắc hoạt ly sở bất thức dã,Viết Thử Tắc Hoạt Ly Sở Bất Thức Dã,"['曰', '此', '則', '濁', '鍾', '所', '不', '識', '也']","['viết', 'thử', 'tắc', 'hoạt', 'ly', 'sở', 'bất', 'thức', 'dã']"
197,7,日吾明告子,"[(45, 63), (79, 273)]",viết ngô minh cáo tử,Viết Ngô Minh Cáo Tử,"['日', '吾', '明', '告', '子']","['viết', 'ngô', 'minh', 'cáo', 'tử']"
199,0,夭子之地方千里,"[(357, 62), (391, 362)]",thiên tử chi địa phương thiên lý,Thiên Tử Chi Địa Phương Thiên Lý,"['夭', '子', '之', '地', '方', '千', '里']","['thiên', 'tử', 'chi', 'địa', 'phương', 'thiên', 'lý']"
199,1,不千里,"[(311, 61), (347, 182)]",bất thiên lý,Bất Thiên Lý,"['不', '千', '里']","['bất', 'thiên', 'lý']"
199,2,不足以待諸侯,"[(264, 62), (304, 322)]",bất túc dĩ đãi chư hầu,Bất Túc Dĩ Đãi Chư Hầu,"['不', '足', '以', '待', '諸', '侯']","['bất', 'túc', 'dĩ', 'đãi', 'chư', 'hầu']"
199,3,諸侯之地方百里,"[(220, 57), (260, 362)]",chư hầu chi địa phương bách lý,Chư Hầu Chi Địa Phương Bách Lý,"['諸', '侯', '之', '地', '方', '百', '里']","['chư', 'hầu', 'chi', 'địa', 'phương', 'bách', 'lý']"
199,4,不百里,"[(176, 59), (214, 184)]",bất bách lý,Bất Bách Lý,"['不', '百', '里']","['bất', 'bách', 'lý']"
199,5,不足以守宗廟之典籍,"[(132, 61), (168, 455)]",bất túc dĩ thủ tông miếu chi điển tịch,Bất Túc Dĩ Thủ Tông Miếu Chi Điển Tịch,"['不', '足', '以', '守', '宗', '廟', '之', '典', '籍']","['bất', 'túc', 'dĩ', 'thủ', 'tông', 'miếu', 'chi', 'điển', 'tịch']"
199,6,周公之封於魯,"[(87, 60), (124, 319)]",chu công chi phong ư lỗ,Chu Công Chi Phong Ư Lỗ,"['周', '公', '之', '封', '於', '魯']","['chu', 'công', 'chi', 'phong', 'ư', 'lỗ']"
199,7,爲方百里也,"[(41, 55), (81, 273)]",vi phương bách lý dã,Vi Phương Bách Lý Dã,"['爲', '方', '百', '里', '也']","['vi', 'phương', 'bách', 'lý', 'dã']"
201,0,地非不足,"[(353, 68), (390, 243)]",địa phi bất túc,Địa Phi Bất Túc,"['地', '非', '不', '足']","['địa', 'phi', 'bất', 'túc']"
201,1,而儉於百里,"[(311, 70), (346, 280)]",nhi kiệm ư bách lý,Nhi Kiệm Ư Bách Lý,"['而', '儉', '於', '百', '里']","['nhi', 'kiệm', 'ư', 'bách', 'lý']"
201,2,太公之封於齊也,"[(265, 69), (301, 368)]",thái công chi phong ư tề dã,Thái Công Chi Phong Ư Tề Dã,"['太', '公', '之', '封', '於', '齊', '也']","['thái', 'công', 'chi', 'phong', 'ư', 'tề', 'dã']"
201,3,亦爲方百里也,"[(221, 67), (254, 322)]",diệc vi phương bách lý dã,Diệc Vi Phương Bách Lý Dã,"['亦', '爲', '方', '百', '里', '也']","['diệc', 'vi', 'phương', 'bách', 'lý', 'dã']"
201,4,地非不足也,"[(177, 70), (211, 281)]",địa phi bất túc dã,Địa Phi Bất Túc Dã,"['地', '非', '不', '足', '也']","['địa', 'phi', 'bất', 'túc', 'dã']"
201,5,而儉於百里,"[(128, 68), (169, 285)]",nhi kiệm ư bách lý,Nhi Kiệm Ư Bách Lý,"['而', '儉', '於', '百', '里']","['nhi', 'kiệm', 'ư', 'bách', 'lý']"
201,6,癸會方百里者五,"[(88, 69), (121, 367)]",kim lỗ phương bách lý giả ngũ,Kim Lỗ Phương Bách Lý Giả Ngũ,"['癸', '會', '方', '百', '里', '者', '五']","['kim', 'lỗ', 'phương', 'bách', 'lý', 'giả', 'ngũ']"
201,7,子以爲有王者作,"[(42, 68), (77, 370)]",tử dĩ vi hữu vương giả tác,Tử Dĩ Vi Hữu Vương Giả Tác,"['子', '以', '爲', '有', '王', '者', '作']","['tử', 'dĩ', 'vi', 'hữu', 'vương', 'giả', 'tác']"
203,0,則魯在所損乎,"[(357, 71), (390, 335)]",tắc lỗ tại sở tổn hồ,Tắc Lỗ Tại Sở Tổn Hồ,"['則', '魯', '在', '所', '損', '乎']","['tắc', 'lỗ', 'tại', 'sở', 'tổn', 'hồ']"
203,1,在所益乎,"[(313, 70), (347, 250)]",tại sở ích hồ,Tại Sở Ích Hồ,"['在', '所', '益', '乎']","['tại', 'sở', 'ích', 'hồ']"
203,2,徒取諸彼以與此,"[(265, 70), (305, 374)]",đồ thủ chư bỉ dĩ dữ thử,Đồ Thủ Chư Bỉ Dĩ Dữ Thử,"['徒', '取', '諸', '彼', '以', '與', '此']","['đồ', 'thủ', 'chư', 'bỉ', 'dĩ', 'dữ', 'thử']"
203,3,然旦仁者不爲,"[(220, 70), (260, 332)]",nhiên thả nhân giả bất vi,Nhiên Thả Nhân Giả Bất Vi,"['然', '旦', '仁', '者', '不', '爲']","['nhiên', 'thả', 'nhân', 'giả', 'bất', 'vi']"
203,4,况於殺戈以求之乎,"[(180, 75), (213, 418)]",huống ư sát nhân dĩ cầu chi hồ,Huống Ư Sát Nhân Dĩ Cầu Chi Hồ,"['况', '於', '殺', '戈', '以', '求', '之', '乎']","['huống', 'ư', 'sát', 'nhân', 'dĩ', 'cầu', 'chi', 'hồ']"
203,5,君子之事君也,"[(135, 72), (168, 327)]",quân tử chi sự quân dã,Quân Tử Chi Sự Quân Dã,"['君', '子', '之', '事', '君', '也']","['quân', 'tử', 'chi', 'sự', 'quân', 'dã']"
203,6,務引其君󰜋當道,"[(84, 66), (128, 373)]",vụ dẫn kỳ quân dĩ đương đạo,Vụ Dẫn Kỳ Quân Dĩ Đương Đạo,"['務', '引', '其', '君', '\U000f070b', '當', '道']","['vụ', 'dẫn', 'kỳ', 'quân', 'dĩ', 'đương', 'đạo']"
203,7,志於仁而尼,"[(44, 71), (78, 284)]",chí ư nhân nhi dĩ,Chí Ư Nhân Nhi Dĩ,"['志', '於', '仁', '而', '尼']","['chí', 'ư', 'nhân', 'nhi', 'dĩ']"
205,0,孟子曰,"[(352, 60), (392, 189)]",mạnh tử viết,9 Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
205,1,今之事君者,"[(306, 59), (350, 282)]",kim chi sự quân giả,Kim Chi Sự Quân Giả,"['今', '之', '事', '君', '者']","['kim', 'chi', 'sự', 'quân', 'giả']"
205,2,皆曰,"[(268, 63), (300, 149)]",giai viết,Giai Viết,"['皆', '曰']","['giai', 'viết']"
205,3,我能爲君辟土地,"[(216, 61), (259, 364)]",ngã năng vi quân tịch thổ địa,Ngã Năng Vi Quân Tịch Thổ Địa,"['我', '能', '爲', '君', '辟', '土', '地']","['ngã', 'năng', 'vi', 'quân', 'tịch', 'thổ', 'địa']"
205,4,綂府庸,"[(176, 64), (212, 189)]",sung phủ khố,Sung Phủ Khố,"['綂', '府', '庸']","['sung', 'phủ', 'khố']"
205,5,今之所調良臣,"[(131, 61), (167, 322)]",kim chi sở vị lương thần,Kim Chi Sở Vị Lương Thần,"['今', '之', '所', '調', '良', '臣']","['kim', 'chi', 'sở', 'vị', 'lương', 'thần']"
205,6,古之所謂民賊也,"[(86, 64), (123, 368)]",cổ chi sở vị dân tặc dã,Cổ Chi Sở Vị Dân Tặc Dã,"['古', '之', '所', '謂', '民', '賊', '也']","['cổ', 'chi', 'sở', 'vị', 'dân', 'tặc', 'dã']"
205,7,君不鄕道不志於仁,"[(40, 64), (82, 458)]",quân bất hướng đạo bất chí ư nhân,Quân Bất Hướng Đạo Bất Chí Ư Nhân,"['君', '不', '鄕', '道', '不', '志', '於', '仁']","['quân', 'bất', 'hướng', 'đạo', 'bất', 'chí', 'ư', 'nhân']"
207,0,而求富之是富桀也,"[(356, 70), (393, 464)]",nhi cầu phú chi thị phú kiệt dã,Nhi Cầu Phú Chi Thị Phú Kiệt Dã,"['而', '求', '富', '之', '是', '富', '桀', '也']","['nhi', 'cầu', 'phú', 'chi', 'thị', 'phú', 'kiệt', 'dã']"
207,1,我能爲君約興國,"[(311, 67), (348, 376)]",ngã năng vị quân ước dữ quốc,Ngã Năng Vị Quân Ước Dữ Quốc,"['我', '能', '爲', '君', '約', '興', '國']","['ngã', 'năng', 'vị', 'quân', 'ước', 'dữ', 'quốc']"
207,2,戰必克,"[(267, 70), (305, 210)]",chiến tất khắc,Chiến Tất Khắc,"['戰', '必', '克']","['chiến', 'tất', 'khắc']"
207,3,今之所調良臣,"[(223, 69), (259, 324)]",kim chi sở vị lương thần,Kim Chi Sở Vị Lương Thần,"['今', '之', '所', '調', '良', '臣']","['kim', 'chi', 'sở', 'vị', 'lương', 'thần']"
207,4,古之所謂民賊也,"[(180, 70), (213, 367)]",cổ chi sở vị dân tặc dã,Cổ Chi Sở Vị Dân Tặc Dã,"['古', '之', '所', '謂', '民', '賊', '也']","['cổ', 'chi', 'sở', 'vị', 'dân', 'tặc', 'dã']"
207,5,君不鄕道不志於仁,"[(131, 70), (168, 461)]",quân bất hướng đạo bất chi ư nhân,Quân Bất Hướng Đạo Bất Chi Ư Nhân,"['君', '不', '鄕', '道', '不', '志', '於', '仁']","['quân', 'bất', 'hướng', 'đạo', 'bất', 'chi', 'ư', 'nhân']"
207,6,而求爲之強𡃹,"[(88, 70), (124, 328)]",nhi cầu vi chi cương chiến,Nhi Cầu Vi Chi Cương Chiến,"['而', '求', '爲', '之', '強', '𡃹']","['nhi', 'cầu', 'vi', 'chi', 'cương', 'chiến']"
207,7,是輔桀也,"[(46, 69), (79, 242)]",thị phụ kiệt dã,Thị Phụ Kiệt Dã,"['是', '輔', '桀', '也']","['thị', 'phụ', 'kiệt', 'dã']"
209,0,由因之道,"[(353, 69), (391, 238)]",do kim chi đạo,Do Kim Chi Đạo,"['由', '因', '之', '道']","['do', 'kim', 'chi', 'đạo']"
209,1,無變冷之俗,"[(302, 59), (352, 281)]",vô biến kim chi tục,Vô Biến Kim Chi Tục,"['無', '變', '冷', '之', '俗']","['vô', 'biến', 'kim', 'chi', 'tục']"
209,2,雖典之夭仁,"[(265, 66), (303, 284)]",tuy dữ chi thiên hạ,Tuy Dữ Chi Thiên Hạ,"['雖', '典', '之', '夭', '仁']","['tuy', 'dữ', 'chi', 'thiên', 'hạ']"
209,3,不能一朝居也,"[(221, 65), (257, 329)]",bất năng nhất triều cư dã,Bất Năng Nhất Triều Cư Dã,"['不', '能', '一', '朝', '居', '也']","['bất', 'năng', 'nhất', 'triều', 'cư', 'dã']"
209,4,白圭曰,"[(176, 74), (215, 195)]",bạch khuê viết,10 Bạch Khuê Viết,"['白', '圭', '曰']","['bạch', 'khuê', 'viết']"
209,5,音欲二而取一,"[(129, 66), (169, 363)]",ngô dục nhị thập nhi thủ nhất,Ngô Dục Nhị Thập Nhi Thủ Nhất,"['音', '欲', '二', '而', '取', '一']","['ngô', 'dục', 'nhị', 'thập', 'nhi', 'thủ', 'nhất']"
209,6,何如,"[(85, 69), (123, 149)]",hà như,Hà Như,"['何', '如']","['hà', 'như']"
209,7,孟子曰,"[(40, 65), (81, 195)]",mạnh tử viết,Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
211,0,子之道貉道也,"[(354, 66), (394, 373)]",tử chi đạo mạch đạo dã,Tử Chi Đạo Mạch Đạo Dã,"['子', '之', '道', '貉', '道', '也']","['tử', 'chi', 'đạo', 'mạch', 'đạo', 'dã']"
211,1,萬室之國一二人陶,"[(311, 64), (351, 413)]",vạn thất chi quốc nhất nhân đào,Vạn Thất Chi Quốc Nhất Nhân Đào,"['萬', '室', '之', '國', '一', '二', '人', '陶']","['vạn', 'thất', 'chi', 'quốc', 'nhất', 'nhân', 'đào']"
211,2,則可乎,"[(268, 68), (304, 198)]",tắc khả hồ,Tắc Khả Hồ,"['則', '可', '乎']","['tắc', 'khả', 'hồ']"
211,3,曰不可,"[(225, 71), (259, 194)]",viết bất khả,Viết Bất Khả,"['曰', '不', '可']","['viết', 'bất', 'khả']"
211,4,𫥨不足用也,"[(181, 70), (215, 281)]",khí bất túc dụng dã,Khí Bất Túc Dụng Dã,"['𫥨', '不', '足', '用', '也']","['khí', 'bất', 'túc', 'dụng', 'dã']"
211,5,曰夫貉,"[(129, 69), (173, 197)]",viết phù mạch,Viết Phù Mạch,"['曰', '夫', '貉']","['viết', 'phù', 'mạch']"
211,6,五榖不生,"[(87, 69), (125, 239)]",ngũ cốc bất sinh,Ngũ Cốc Bất Sinh,"['五', '榖', '不', '生']","['ngũ', 'cốc', 'bất', 'sinh']"
211,7,惟沗生之無城郎,"[(40, 65), (84, 419)]",duy thử sinh chi vô thành quách,Duy Thử Sinh Chi Vô Thành Quách,"['惟', '沗', '生', '之', '無', '城', '郎']","['duy', 'thử', 'sinh', 'chi', 'vô', 'thành', 'quách']"
213,0,宮室宗廟,"[(352, 67), (390, 285)]",cung thất tông miếu,Cung Thất Tông Miếu,"['宮', '室', '宗', '廟']","['cung', 'thất', 'tông', 'miếu']"
213,1,祭祀之禮,"[(305, 63), (348, 240)]",tế tự chi lễ,Tế Tự Chi Lễ,"['祭', '祀', '之', '禮']","['tế', 'tự', 'chi', 'lễ']"
213,2,無諸侯幣帛鏖飧,"[(265, 64), (301, 381)]",vô chư hầu tệ bạch ung san,Vô Chư Hầu Tệ Bạch Ung San,"['無', '諸', '侯', '幣', '帛', '鏖', '飧']","['vô', 'chư', 'hầu', 'tệ', 'bạch', 'ung', 'san']"
