Page,Column,Transcription,Translation
207,2,Chiến Tất Khắc,Có chuyện đánh nhau ắt sẽ thắng lợi.”
207,3,Kim Chi Sở Vị Lương Thần,"Hiện nay những người bề tôi đó được cho là tốt,"
207,4,Cổ Chi Sở Vị Dân Tặc Dã,Còn ngày xưa những bề tôi đó gọi là giặc hại dân.
207,5,Quân Bất Hướng Đạo Bất Chi Ư Nhân,"Vua không hướng theo đạo lý, không đặt ý chí vào điều nhân."
207,6,Nhi Cầu Vi Chi Cương Chiến,"Mà chỉ cầu được thế lực để gây chiến đánh nhau,"
207,7,Thị Phụ Kiệt Dã,Đó là giống như cách làm của vua Kiệt bạo ngược vậy.
209,0,Do Kim Chi Đạo,"Noi theo đạo lý của những kẻ hại dân ngày nay,"
209,1,Vô Biến Kim Chi Tục,"Thì không cải đổi được những thói xấu hiện tại,"
209,2,Tuy Dữ Chi Thiên Hạ,"Giả như đem thiên-hạ trao cho họ,"
209,3,Bất Năng Nhất Triều Cư Dã,Thì họ không thể giữ yên nổi trong một buổi sáng.
209,4,10 Bạch Khuê Viết,10.Ông Bạch Khuê hỏi rằng :
209,5,Ngô Dục Nhị Thập Nhi Thủ Nhất,"Tôi muốn đánh thuế 1/20 (tổng số hoa lợi hàng năm của dân),"
209,6,Hà Như,Thì sẽ như thế nào ?
209,7,Mạnh Tử Viết,Thầy Mạnh Tử đáp :
211,0,Tử Chi Đạo Mạch Đạo Dã,"Cách đánh thuế của ông, là cách làm của dân rợ mạch (miền bắc)."
211,1,Vạn Thất Chi Quốc Nhất Nhân Đào,"Như trong một nước có 10.000 nhà, mà chỉ có một người thợ gốm,"
211,2,Tắc Khả Hồ,Theo ông có thể được chăng ?
211,3,Viết Bất Khả,"Bạch Khuê nói : không thể được,"
211,4,Khí Bất Túc Dụng Dã,Như thế thì đồ gốm chẳng đủ dùng trong nước.
211,5,Viết Phù Mạch,"Thầy Mạnh Tử nói : ở xứ rợ mạch,"
211,6,Ngũ Cốc Bất Sinh,"Người ta không trồng năm giống lúa,"
211,7,Duy Thử Sinh Chi Vô Thành Quách,"Chỉ trồng có lúa mùa, họ không xây thành quách,"
213,0,Cung Thất Tông Miếu,"Cung thất, tông miếu,"
213,1,Tế Tự Chi Lễ,"Và tổ chức các nghi lễ tế tự,"
213,2,Vô Chư Hầu Tệ Bạch Ung San,"Xứ đó không tặng lễ vật, làm tiệc đãi các nước chư-hầu,"
213,3,Vô Bá Quan Hữu Tư,"Không có bá quan coi việc quản lý hành chính,"
213,4,Cố Nhị Thập Thủ Nhất Nhi Túc Dã,Cho nên họ đánh thuế dân 1/20 là đủ dùng.
213,5,Kim Cư Trung Quốc,"Còn nay ở xứ Trung Quốc của chúng ta,"
213,6,Khứ Nhân Luân Vô Quân Tử,"Bỏ đi luân lý làm người, không có người cai trị,"
213,7,Như Chi Hà Kỳ Khả Dã,Theo ông như thế có được không ?
215,0,Đào Dĩ Quả,"Đồ gốm sản xuất ra ít (không đủ dùng),"
215,1,Thả Bất Khả Dĩ Vi Quốc,"Còn không thể thành lập một quốc gia,"
215,2,Huống Vô Quân Tử Hồ,Huống chi việc không có người cai trị sao ?
215,3,Dục Khinh Chi Ư Nghiêu Thuấn Chi Đạo Giả,"Ông muốn đánh thuế nhẹ hơn thuế của vua Nghiêu, vua Thuấn đặt ra,"
215,4,Đại Mạch Tiểu Mạch Dã,"Là biến chúng ta thành dân rợ mạch lớn, so với dân rợ mạch nhỏ thôi."
215,5,Dục Trọng Chi Ư Nghiêu Thuấn Chi Đạo Giả,"Còn Ông muốn đánh thuế nặng hơn thuế của vua Nghiêu, vua Thuấn đặt ra,"
215,6,Đại Kiệt,"Thì ông trở thành vua Kiệt (bạo ngược bốc lột dân) lớn,"
215,7,Tiểu Kiệt Dã,So với vua Kiệt nhỏ thôi.
217,0,11 Bạch Khuê Viết,11.Ông Bạch Khuê nói rằng :
217,1,Đan Chi Trị Thủy Dã Dũ Ư Vũ,Đan tôi trị thủy còn giỏi hơn ông Vũ.
217,2,Mạnh Tử Viết Tử Quá Hỹ,Thầy Mạnh Tử nói : ông nói hơi quá.
217,3,Vũ Chi Trị Thủy Thủy Chi Đạo Dã,"Ông Vũ trị thủy, thì nương theo đạo tự nhiên của nước."
217,4,Thị Cố Vũ Dĩ Tứ Hải Vi Hác,Vậy nên ông Vũ khơi dẫn nước vào bốn biển để làm chổ chứa.
217,5,Kim Ngô Tử Dĩ Lân Quốc Vi Hác,Nay ông khơi dẫn nước vào quốc gia láng giềng để làm chổ chứa.
217,6,Thủy Nghịch Hành Vị Chi Giáng Thủy,"Thế nước chảy nghịch, thì nước chảy tràn ra ;"
217,7,Giáng Thủy Giả Hồng Thủy Dã,"Nước chảy tràn, là gặp nạn hồng thủy (lũ lụt),"
219,0,Nhân Nhân Chi Sở Ố Dã,Việc làm đó người có lòng nhân đều ghét.
219,1,Ngô Tử Quá Hỹ,Ông nói hơi quá rồi.
219,2,12 Mạnh Tử Viết,12.Thầy Mạnh Tử nói rằng :
219,3,Quân Tử Bất Lượng Ô Hồ Chấp,"Người quân-tử mà chẳng sáng suốt, thật cố chấp làm sao ?"
219,4,13 Lỗ Dục Sử Nhạc Chính Tử Vi Chính,13.Vua Lỗ muốn mời người học trò Nhạc Chính Tử ra làm quan.
219,5,Mạnh Tử Viết,Thầy Mạnh Tử nói :
219,6,Ngô Văn Chi,"Ta nghe được điều ấy,"
219,7,Hỷ Nhi Bất Mỵ,Vui mừng đến không ngủ được.
221,0,Công Tôn Sửu Viết,Học trò Công Tôn Sửu hỏi :
221,1,Nhạc Chính Tử Cường Hồ,Thưa (huynh) Nhạc Chính Tử có điểm mạnh gì chăng ?
221,2,Viết Phủ,Thầy Mạnh Tử đáp : không có.
221,3,Hữu Trí Lự Hồ,Công Tôn Sửu hỏi : thưa vậy có mưu trí gì chăng ?
221,4,Viết Phủ,Thầy Mạnh Tử đáp : không có.
221,5,Đa Văn Thức Hồ,Công Tôn Sửu hỏi : thưa vậy có học rộng biết nhiều chăng ?
221,6,Viết Phủ,Thầy Mạnh Tử đáp : không có.
221,7,Nhiên Tắc Hề Vi Hỷ Nhi Bất Mỵ,Thưa vậy sao thầy vui mừng (vì huynh ấy) đến không ngủ được.
223,0,Viết Kỳ Vi Nhân Dã Hảo Thiện,Thầy Mạnh Tử đáp : vì trò ấy là người ham thích điều thiện.
223,1,Hảo Thiện Túc Hồ,Công Tôn Sửu hỏi : thưa thích điều thiện có đủ khả năng làm quan sao ?
223,2,Viết Hảo Thiện Ưu Ư Thiên Hạ,"Thầy Mạnh Tử đáp : người thích điều thiện dư sức trị thiên-hạ,"
223,3,Nhi Huống Lỗ Quốc Hồ,Huống hồ làm quan cho nước Lỗ ?
223,4,Phù Cẩu Hảo Thiện,"Này nếu người ham thích điều thiện,"
223,5,Tắc Tứ Hải Chi Nội,"Thì mọi người (hiền đức) trong bốn biển,"
223,6,Giai Tương Khinh Thiên Lý,Đều chẳng ngại đường xa nghìn dặm
223,7,Nhi Lai Cáo Chi Dĩ Thiện,Mà đến chỉ bảo giúp đỡ cho người háo thiện đó.
225,0,Phù Cẩu Bất Hảo Thiện,"Còn người chẳng ham thích điều thiện,"
225,1,Tắc Nhân Tương Viết,Thì người đời sẽ nói rằng :
225,2,Di Di Dư Ký Dĩ Tri Chi Hỹ,"Kẻ đó dương dương tự đắc, như ta đây đã biết rồi vậy."
225,3,Di Di Chi Thanh Âm Nhan Sắc,"Giọng nói và vẻ mặt của kẻ đó dương dương tự đắc ấy,"
225,4,Cự Nhân Ư Thiên Lý Chi Ngoại,Làm cho những người (hiền đức) ở xa nghìn dặm phải giữ khoảng cách.
225,5,Sĩ Chỉ Ư Thiên Lý Chi Ngoại,"Khi những người học thức ở xa nghìn dặm phải giữ khoảng cách,"
225,6,Tắc Sàm Siểm Diện Du Chi Nhân Chí Hỹ,Thì những bọn gièm pha nịnh hót và phường bợ đỡ trước mặt sẽ kéo đến.
225,7,Dữ Sàm Siểm Diện Du Chi Nhân Cư,Cùng sống chung với
227,0,Quốc Dục Trị,"Mà muốn quốc gia được an trị,"
227,1,Khả Đắc Hồ,Liệu có được hay chăng ?
227,2,14 Trần Tử Viết,14.Học trò Trần Tử hỏi rằng :
227,3,Cổ Chi Quân Tử Hà Như Tắc Sĩ,"Người quân-tử thời xưa, có điều kiện như thế nào mới ra làm quan ?"
227,4,Mạnh Tử Viết,Thầy Mạnh Tử đáp :
227,5,Sở Tựu Tam Sở Khứ Tam,"Có ba điều để ra làm quan, có ba điều để từ quan."
227,6,Nghênh Chi Chí Kính Dĩ Hữu Lễ,"* Vua lấy lễ đón tiếp ta hết sức cung kính,"
227,7,Ngôn Tương Hành Kỳ Ngôn Dã,"Chịu nghe theo lời khuyên và đem chúng ra thi hành,"
229,0,Tắc Tựu Chi,Thì nên ra làm quan ;
229,1,Lễ Mạo Vị Suy,"Còn vua chỉ lễ phép với ta ở bề ngoài (trong lòng thì xem nhẹ),"
229,2,Ngôn Phất Hành Dã Tắc Khứ Chi,"Không nghe theo lời khuyên và đem chúng ra thi hành, thì từ quan ra đi."
229,3,Kỳ Thứ Tuy Vị Hành Kỳ Ngôn Dã,"* Trường hợp thứ hai, tuy vua chưa chịu nghe theo lời khuyên của ta,"
229,4,Nghênh Chi Chí Kính Dĩ Hữu Lễ,"Nhưng lấy lễ đón tiếp ta hết sức cung kính,"
229,5,Tắc Tựu Chi,Thì nên ra làm quan ;
229,6,Lễ Mạo Suy Tắc Khứ Chi,"Còn khi vua đối đãi ta lễ mạo suy kém, thì từ quan ra đi."
229,7,Kỳ Hạ,"* Trường hợp thứ ba, (khi người quân-tử lo học đạo)"
231,0,Triều Bất Thực Tịch Bất Thực,"Đến nỗi buổi sáng không ăn, buổi chiều không ăn,"
231,1,Cơ Ngạ Bất Năng Xuất Môn Hộ,Đói lã người không còn sức ra khỏi cửa nhà ;
231,2,Quân Văn Chi,"Vua nghe thấy vậy,"
231,3,Viết Ngô Đại Giả Bất Năng Hành Kỳ Đạo,"Nói rằng : việc đó lớn quá ta không đủ khả năng làm theo đạo ấy,"
231,4,Hựu Bất Năng Tòng Kỳ Ngôn Dã,"Lại không thể nghe theo lời khuyên được,"
231,5,Sử Cơ Ngạ Ư Ngã Thổ Địa,"Nhưng để người quân-tử ấy chết đói trên đất nước của ta,"
231,6,Ngô Sỉ Chi,Ta lấy làm hổ thẹn.
231,7,Chu Chi Diệc Khả Thọ Dã,"Lâm vào cảnh ấy nếu vua chu cấp lương thực, thì cũng nên nhận lấy."
233,0,Miễn Tử Nhi Dĩ Hỹ,Để thoát khỏi cảnh chết đói mà thôi.
233,1,15 Mạnh Tử Viết,15.Thầy Mạnh Tử nói rằng :
233,2,Thuấn Phát Ư Quyến Mẫu Chi Trung,"Vua Thuấn xuất thân từ trong dân cày ruộng,"
233,3,Phó Duyệt Cử Ư Bản Trúc Chi Gian,"Ông Phó Duyệt tiến thân từ một gian nhà tranh,"
233,4,Giao Cách Cử Ư Ngư Diêm Chi Trung,"Ông Giao Cách tiến thân từ trong dân bán cá muối,"
233,5,Quản Di Ngô Cử Ư Sĩ,"Ông Quản Di Ngô tiến thân từ một người học trò nghèo,"
233,6,Tôn Thúc Ngao Cử Ư Hải,"Ông Tôn Thúc Ngao tiến thân từ một vùng mé biển,"
233,7,Bách Lý Hề Cử Ư Thị,Ông Bách Lý Hề tiến thân từ nơi chợ búa.
235,0,Cố Thiên Tương Giáng Đại Nhiệm Ư Thị Dân Dã,Cho nên khi trời muốn trao trách nhiệm lớn nào cho ai.
235,1,Tất Tiên Khổ Kỳ Tâm Chí,"ắt trước hết sẽ làm khổ tâm chí họ,"
235,2,Lao Kỳ Cân Cốt Ngã Kỳ Thể Phu,"làm mệt nhọc gân cốt, khiến gầy mòn vì thiếu ăn,"
235,3,Không Phạp Kỳ Thân,"khiến thân phải chịu cảnh thiếu thốn đủ thứ,"
235,4,Hành Phật Loạn Kỳ Sở Vi,gây ra cảnh ngang trái khi làm việc ;
235,5,Sở Dĩ Động Tâm Nhẫn Tính,"cốt để giúp tâm họ có đức tính khiên nhẫn và,"
235,6,Tăng Ích Kỳ Sở Bất Năng,Giúp tăng thêm những điều họ chưa có khả năng
235,7,Nhân Hằng Quá Nhiên Hậu Năng Cải,(đức hạnh và tài năng).
237,0,Khốn Ư Tâm Hành Ư Lự,"Người có chuyện khốn khổ trong tâm, mới biết cân nhắc rồi lo lắng,"
237,1,Nhi Hậu Tác,Mà sau phấn đấu làm nên việc.
237,2,Trưng Ư Sắc Phát Ư Thanh,"Xem vẻ mặt của người, nghe lời nói của người,"
237,3,Nhi Hậu Dụ,Về sau mới biết việc làm của mình có hợp đạo lý hay không.
237,4,Nhập Tắc Vô Pháp Gia Bật Sĩ,"Vào một nước mà những gia tộc không biết giữ phép tắc, kẻ sĩ bị hất hủi,"
237,5,Xuất Tắc Vô Địch Quốc Ngoại Hoạn Giả,"Hướng ra không lo lắng các quốc gia thù địch bên ngoài,"
237,6,Quốc Hằng Vong,Thì nước ấy sẽ có ngày diệt vong.
237,7,Nhiên Hậu Tri Sinh Ư Ưu Hoạn,"Vậy sau ta mới biết : sự sống sinh ra từ trong ưu hoạn,"
239,0,Nhi Tử Ư An Lạc Dã,Mà cái chết đến trong lúc an lạc vậy.
239,1,16 Mạnh Tử Viết,16.Thầy Mạnh Tử nói rằng :
239,2,Giáo Diệc Đa Thuật Hỹ,Dạy người cũng có rất nhiều cách.
239,3,Dư Bất Tiết Chi Giáo Hối Dã Giả,"Khi ta từ chối không dạy người,"
239,4,Thị Diệc Giáo Hối Chi Nhi Dĩ Hỹ,Thì đó cũng xem như dạy họ rồi vậy.
